id,session,page,lon,lat,time
0,1477908454740,1,-73.9498069045,40.7971310409,7296
1,1477908454740,2,-73.9262399612,40.7725755649,6002
2,1477908454740,3,-73.9596444817,40.8052323553,7513
3,1477908454740,4,-73.9600769027,40.7795338716,17206
4,1477908454740,5,-73.9584553241,40.8060506149,14410
5,1477908454740,6,-73.9205103833,40.768154615,10620
6,1477908454740,7,-73.9475366944,40.7540711103,10801
7,1477908454740,8,-73.9640767968,40.7605400673,11084
8,1477908454740,9,-73.9277534347,40.794103023,1680
9,1477908454740,10,-73.9195374361,40.771429421,3912
10,1477908454740,11,-73.9522933251,40.7547262232,8900
11,1477908853984,1,-73.9570499542,40.7580082031,16890
12,1477908853984,2,-73.9586715329,40.783469456,17423
13,1477908853984,3,-73.9449421685,40.7524398125,7038
14,1477908853984,4,-73.9222400672,40.7694710678,12670
15,1477908853984,5,-73.9553202703,40.7571074656,8440
16,1477908853984,6,-73.9528338513,40.7761841133,9205
17,1477908853984,7,-73.9259156455,40.7723364751,6362
18,1477908853984,8,-73.9553202703,40.777412036,11052
19,1477908853984,9,-73.9553202703,40.7992652639,9566
20,1477908853984,10,-73.956509428,40.786170561,8698
21,1477908853984,11,-73.9576985857,40.7779031988,12310
22,1477908880033,1,-73.9531581671,40.7986040807,8694
23,1477908880033,2,-73.9255913298,40.7724118313,23550
24,1477908880033,3,-73.9374829066,40.7596393642,9012
25,1477908880033,4,-73.9583472188,40.7688914604,26828
26,1477908880033,5,-73.9557526929,40.7713475528,31674
27,1477908880033,6,-73.9562932192,40.7717568927,8279
28,1477908880033,7,-73.9449421685,40.7530065381,6323
29,1477908880033,8,-73.934564065,40.7633239816,9157
30,1477908880033,9,-73.9383477486,40.7559545425,19063
31,1477908880033,10,-73.9338073283,40.7629145898,4779
32,1477908880033,11,-73.9229968039,40.771593157,10055
33,1477908833775,1,-73.9441854318,40.7517781643,25721
34,1477908833775,2,-73.9572661664,40.7785515666,31155
35,1477908833775,3,-73.9444016423,40.7517781643,4245
36,1477908833775,4,-73.9547797457,40.7895198144,48769
37,1477908833775,5,-73.9440773266,40.7521876247,46001
38,1477908833775,6,-73.9583472188,40.7688914604,23855
39,1477908833775,7,-73.9543473248,40.7566096368,21656
40,1477908833775,8,-73.9339154336,40.7629964684,21960
41,1477908833775,9,-73.9602931132,40.7807617324,10781
42,1477908833775,10,-73.9373748014,40.7595574815,5241
43,1477908833775,11,-73.9241859616,40.7702013877,7382
44,1477908937936,1,-73.9667794279,40.7602125403,19742
45,1477908937936,2,-73.9371585909,40.7598031293,15122
46,1477908937936,3,-73.9395369063,40.7566915232,38683
47,1477908937936,4,-73.9515365884,40.7766687748,767941
48,1477908937936,5,-73.9336992231,40.7626689535,28352
49,1477908937936,6,-73.9312128025,40.7666808997,20486
50,1477908937936,7,-73.9534824828,40.7915659288,12169
51,1477908937936,8,-73.9623471128,40.8020410464,50661
52,1477908937936,9,-73.9545635353,40.7745403371,17321
53,1477908937936,10,-73.9594282713,40.7840359169,12528
54,1477908937936,11,-73.9611579552,40.759966894,15425
55,1477910618018,1,-73.926564277,40.7726574316,8421
56,1477910618018,2,-73.9592120608,40.7833810929,15353
57,1477910618018,3,-73.9268885927,40.7726574316,43889
58,1477910618018,4,-73.9622390076,40.780843589,13743
59,1477910618018,5,-73.9284020661,40.7692189447,8788
60,1477910618018,6,-73.9542392195,40.7890287376,12973
61,1477910618018,7,-73.9183482784,40.7704469961,14639
62,1477910618018,8,-73.9545635353,40.7894379685,14511
63,1477910618018,9,-73.9260237507,40.7710200791,12427
64,1477910618018,10,-73.9565094297,40.7863277501,6166
65,1477910618018,11,-73.9209428043,40.7709382104,13511
66,1477911455645,1,-73.963752481,40.7604581857,16273
67,1477911455645,2,-73.9340235388,40.7629964684,9161
68,1477911455645,3,-73.963752481,40.7600487762,17293
69,1477911455645,4,-73.9369423804,40.7593937158,18703
70,1477911455645,5,-73.9634281653,40.7606219488,10265
71,1477911455645,6,-73.9368342752,40.759966894,14171
72,1477911455645,7,-73.9634281653,40.7600487762,4455
73,1477911455645,8,-73.9333749074,40.7628327111,6489
74,1477911455645,9,-73.964184902,40.7612769972,3214
75,1477911455645,10,-73.9336992231,40.7625870745,3371
76,1477911455645,11,-73.9638605863,40.7608675927,4282
77,1477911584216,1,-73.944293537,40.7508773425,10352
78,1477911584216,2,-73.9574823769,40.7786334259,10099
79,1477911584216,3,-73.9439692213,40.7511230224,7623
80,1477911584216,4,-73.9579147978,40.7780604087,14374
81,1477911584216,5,-73.9221319619,40.7684002311,6151
82,1477911584216,6,-73.955320272,40.7776511076,14630
83,1477911584216,7,-73.9231049091,40.7687277177,16484
84,1477911584216,8,-73.9556445877,40.7999952549,12371
85,1477911584216,9,-73.964617323,40.7598031293,10682
86,1477911584216,10,-73.9592120608,40.7832173859,11300
87,1477911584216,11,-73.9600769027,40.7793701551,10830
88,1477911516706,1,-73.9642930072,40.7596393642,30907
89,1477911516706,2,-73.963752481,40.7597212468,17301
90,1477911516706,3,-73.9620227971,40.7605400673,17033
91,1477911516706,4,-73.9484015363,40.7972947136,41299
92,1477911516706,5,-73.9498069045,40.7966400203,23386
93,1477911516706,6,-73.9578066926,40.7684821029,12400
94,1477911516706,7,-73.9492663783,40.7974583859,27524
95,1477911516706,8,-73.9642930072,40.7602944222,68906
96,1477911516706,9,-73.9233211196,40.7697920382,25790
97,1477911516706,10,-73.944725958,40.7517781643,33526
98,1477911516706,11,-73.9207265938,40.7685639746,8365
99,1477912958045,1,-73.9436449056,40.7525970827,19802
100,1477912958045,2,-73.9404017482,40.7563639772,11810
101,1477912958045,3,-73.9229968039,40.7679089981,8234
102,1477912958045,4,-73.9613741657,40.780352448,23086
103,1477912958045,5,-73.9640767968,40.7606219488,8049
104,1477912958045,6,-73.9335911178,40.7628327111,12035
105,1477912958045,7,-73.9608336394,40.7806798757,9517
106,1477912958045,8,-73.9526176409,40.776586913,18205
107,1477912958045,9,-73.9530500618,40.7763413273,4632
108,1477912958045,10,-73.9615903761,40.7606219488,10065
109,1477912958045,11,-73.9533743776,40.7774873865,12037
110,1477914393544,1,-73.9579147978,40.7580344467,14554
111,1477914393544,2,-73.9531581671,40.7767833805,11483
112,1477914393544,3,-73.9579147978,40.7578706773,10453
113,1477914393544,4,-73.949590694,40.7970819391,13131
114,1477914393544,5,-73.9518609041,40.7557416374,8968
115,1477914393544,6,-73.9583472188,40.7793210396,27377
116,1477914393544,7,-73.9522933251,40.7558235249,13056
117,1477914393544,8,-73.9445097475,40.7524660584,17472
118,1477914393544,9,-73.9367261699,40.7591808217,5435
119,1477914393544,10,-73.9574823769,40.7584438687,9714
120,1477914393544,11,-73.9365099594,40.7600815311,6515
121,1477915805692,1,-73.9639686915,40.7602125403,16774
122,1477915805692,2,-73.9612660604,40.801959216,22835
123,1477915805692,3,-73.9574823769,40.7582473445,14321
124,1477915805692,4,-73.9347802755,40.762341437,17540
125,1477915805692,5,-73.9581310083,40.8003225858,22621
126,1477915805692,6,-73.930564171,40.7668446475,10144
127,1477915805692,7,-73.9234292249,40.768154615,14285
128,1477915805692,8,-73.9586715345,40.7690552028,28594
129,1477915805692,9,-73.9624552181,40.759966894,9470
130,1477915805692,10,-73.9585634293,40.7832173859,9110
131,1477915805692,11,-73.944725958,40.7515324868,11570
132,1477916764376,1,-73.960185008,40.7797794456,7089
133,1477916764376,2,-73.9628876391,40.7625870745,5722
134,1477916764376,3,-73.9599687975,40.7796157297,4545
135,1477916764376,4,-73.965049744,40.7601306583,12449
136,1477916764376,5,-73.9620227971,40.7644702654,16574
137,1477916764376,6,-73.9608336394,40.8017955548,6794
138,1477916764376,7,-73.939428801,40.7563639772,6428
139,1477916764376,8,-73.9613741657,40.7648796477,14632
140,1477916764376,9,-73.9649416387,40.7602944222,11099
141,1477916764376,10,-73.9222400672,40.7697920382,4385
142,1477916764376,11,-73.9620227971,40.7629145898,4670
143,1477916943209,1,-73.9572445473,40.7580677124,8729
144,1477916943209,2,-73.9210292937,40.7718715069,16798
145,1477916943209,3,-73.9441638127,40.7523355437,10855
146,1477916943209,4,-73.9634065462,40.7586895206,18762
147,1477916943209,5,-73.9582174945,40.8002734864,13195
148,1477916943209,6,-73.9621092833,40.760327177,9119
149,1477916943209,7,-73.9645957039,40.76114599,4595
150,1477916943209,8,-73.9226508724,40.770349264,10320
151,1477916943209,9,-73.9590823364,40.8061651706,4728
152,1477916943209,10,-73.9534608637,40.7572155954,8693
153,1477916943209,11,-73.962001178,40.7596721193,3942
154,1477917227403,1,-73.9400774325,40.7565277504,44572
155,1477917227403,2,-73.9608336394,40.7799431611,16310
156,1477917227403,3,-73.9594282713,40.7588205326,19174
157,1477917227403,4,-73.9370504857,40.7598031293,35499
158,1477917227403,5,-73.926131856,40.7721662301,14857
159,1477917227403,6,-73.9530500618,40.7984404112,13002
160,1477917227403,7,-73.9604012185,40.766189654,16982
161,1477917227403,8,-73.9340235388,40.7634058597,15585
162,1477917227403,9,-73.9534824828,40.7557088805,23474
163,1477917227403,10,-73.9526176409,40.7762594651,15761
164,1477917227403,11,-73.9587796398,40.7689733316,8421
165,1477920343399,1,-73.9569418506,40.7783059881,13964
166,1477920343399,2,-73.9369423804,40.7594755987,17217
167,1477920343399,3,-73.9207265938,40.7708563416,9792
168,1477920343399,4,-73.950023115,40.7970492043,27114
169,1477920343399,5,-73.9525095356,40.7768324979,10484
170,1477920343399,6,-73.955320272,40.7738035544,18064
171,1477920343399,7,-73.9245102773,40.768154615,12442
172,1477920343399,8,-73.9311046972,40.7673358883,10913
173,1477920343399,9,-73.9559689034,40.7999134219,10502
174,1477920343399,10,-73.926131856,40.7721662301,15959
175,1477920343399,11,-73.9408341692,40.7560364296,10121
176,1477920986554,1,-73.9201860675,40.7684821029,13716
177,1477920986554,2,-73.9367261699,40.7596393642,13005
178,1477920986554,3,-73.9631038496,40.7598850117,19363
179,1477920986554,4,-73.9340235388,40.7624233162,16101
180,1477920986554,5,-73.9225643829,40.7684821029,5905
181,1477920986554,6,-73.9444016423,40.7521876247,5955
182,1477920986554,7,-73.92126712,40.7684821029,8165
183,1477920986554,8,-73.9620227971,40.7645521421,11614
184,1477920986554,9,-73.9436449056,40.7539073311,11815
185,1477920986554,10,-73.9520771146,40.7941848632,9285
186,1477920986554,11,-73.9269966979,40.7735579583,7300
187,1477922300794,1,-73.9649416387,40.7602125403,68530
188,1477922300794,2,-73.9373748014,40.7598850117,42544
189,1477922300794,3,-73.949158273,40.7972128773,57327
190,1477922300794,4,-73.9343478546,40.7627508323,61495
191,1477922300794,5,-73.964184902,40.760376304,55665
192,1477922300794,6,-73.9343478546,40.7632421035,27943
193,1477922300794,7,-73.96332006,40.7602125403,43188
194,1477922300794,8,-73.9549959562,40.7890287376,24863
195,1477922300794,9,-73.9635362705,40.7604581857,15281
196,1477922300794,10,-73.934564065,40.7633239816,17066
197,1477922300794,11,-73.9426719584,40.7517781643,20690
198,1477913216581,1,-73.9629957443,40.7590661831,19740
199,1477913216581,2,-73.9558607982,40.7854273965,17215
200,1477913216581,3,-73.959320166,40.7655346541,19302
201,1477913216581,4,-73.9293750133,40.7658621548,25448
202,1477913216581,5,-73.9391044853,40.7553813297,12697
203,1477913216581,6,-73.9541311143,40.7727392982,9831
204,1477913216581,7,-73.9518609041,40.7757682902,11885
205,1477913216581,8,-73.9545635353,40.7708563416,14628
206,1477913216581,9,-73.9538067985,40.7560364296,24902
207,1477913216581,10,-73.9582391136,40.8049050486,9985
208,1477913216581,11,-73.9571580611,40.7830536785,7658
209,1477928954400,1,-73.9219698041,40.7674996345,15596
210,1477928954400,2,-73.9525635882,40.7764231893,8102
211,1477928954400,3,-73.9440232739,40.7521876247,16983
212,1477928954400,4,-73.9372126435,40.7593118328,23048
213,1477928954400,5,-73.957320219,40.7573466103,16682
214,1477928954400,6,-73.9299695922,40.7669265212,12297
215,1477928954400,7,-73.9436989582,40.7521876247,54323
216,1477928954400,8,-73.9589417977,40.8058869638,15321
217,1477928954400,9,-73.9272669611,40.7723299643,10535
218,1477928954400,10,-73.9489961152,40.7747040655,3702
219,1477928954400,11,-73.9514825358,40.7769143593,15710
220,1477929181037,1,-73.954887851,40.7892742764,8530
221,1477929181037,2,-73.963752481,40.7602125403,17433
222,1477929181037,3,-73.9628876391,40.7629145898,27878
223,1477929181037,4,-73.9600769027,40.8053141817,16841
224,1477929181037,5,-73.9602931132,40.766189654,20246
225,1477929181037,6,-73.9400774325,40.7562820905,28597
226,1477929181037,7,-73.9618065866,40.7805161621,10557
227,1477929181037,8,-73.9397531168,40.7570190675,5770
228,1477929181037,9,-73.9275372242,40.7704469961,11850
229,1477929181037,10,-73.9437530108,40.7502221916,13879
230,1477929181037,11,-73.9528338513,40.7909930231,8261
231,1477929206081,1,-73.9222941198,40.7676633802,4405
232,1477929206081,2,-73.9529960092,40.7768324979,7853
233,1477929206081,3,-73.9439151687,40.7522695165,15760
234,1477929206081,4,-73.9599147449,40.8056414864,24043
235,1477929206081,5,-73.9589417977,40.7838722115,10555
236,1477929206081,6,-73.9447800106,40.7530065381,8540
237,1477929206081,7,-73.9496447466,40.7546443344,4625
238,1477929206081,8,-73.9586174819,40.7587386489,21964
239,1477929206081,9,-73.9552662193,40.7778148283,4208
240,1477929206081,10,-73.9590499029,40.7589842997,8793
241,1477929206081,11,-73.918834752,40.770119518,6338
242,1477929202520,1,-73.9440232739,40.7508773425,14761
243,1477929202520,2,-73.9636984284,40.7606219488,34647
244,1477929202520,3,-73.9630497969,40.7598031293,14648
245,1477929202520,4,-73.9526716935,40.7568552956,26977
246,1477929202520,5,-73.9638065336,40.7591480664,25067
247,1477929202520,6,-73.9526716935,40.7767506364,6163
248,1477929202520,7,-73.943590853,40.7509592359,18440
249,1477929202520,8,-73.9337532757,40.7634877377,35844
250,1477929202520,9,-73.9558067456,40.7775692471,16803
251,1477929202520,10,-73.9535365354,40.7571009534,9237
252,1477929202520,11,-73.9604552711,40.7811710143,5232
253,1477929390259,1,-73.9490501678,40.796885531,18661
254,1477929390259,2,-73.9494825888,40.7971310409,12004
255,1477929390259,3,-73.9475366944,40.7540711103,13725
256,1477929390259,4,-73.9527257461,40.7981949062,14343
257,1477929390259,5,-73.9600769027,40.7797794456,6178
258,1477929390259,6,-73.9331586969,40.7629145898,7851
259,1477929390259,7,-73.9180239627,40.7703651267,14162
260,1477929390259,8,-73.9300236448,40.7669265212,5977
261,1477929390259,9,-73.9227805934,40.7677452529,7149
262,1477929390259,10,-73.9400774325,40.7565277504,10405
263,1477929390259,11,-73.9519690094,40.7768324979,7071
264,1477928931585,1,-73.9639686915,40.7602125403,12810
265,1477928931585,2,-73.9602931132,40.7796157297,14898
266,1477928931585,3,-73.9440773266,40.7515324868,12496
267,1477928931585,4,-73.9583472188,40.7789608621,25694
268,1477928931585,5,-73.9628876391,40.7601306583,6680
269,1477928931585,6,-73.9255913298,40.7720024954,11837
270,1477928931585,7,-73.9581310083,40.7785515666,10021
271,1477928931585,8,-73.9494825888,40.7963945087,20612
272,1477928931585,9,-73.9536986933,40.7774873865,13857
273,1477928931585,10,-73.9582391136,40.8004862506,14233
274,1477928931585,11,-73.9599687975,40.8021228768,22783
275,1477929752986,1,-73.9244021721,40.7511230224,19154
276,1477929752986,2,-73.9725090058,40.7724936982,3529
277,1477929752986,3,-73.9268885927,40.7510411292,12058
278,1477929752986,4,-73.9687253223,40.7795338716,12518
279,1477929752986,5,-73.9627795338,40.7610313548,8409
280,1477929752986,6,-73.9719684796,40.7721662301,2852
281,1477929752986,7,-73.9485096416,40.7971310409,14128
282,1477929752986,8,-73.958887745,40.7917296152,2714
283,1477929752986,9,-73.9557526929,40.7774873865,14791
284,1477929752986,10,-73.9664551121,40.7834629463,3216
285,1477929752986,11,-73.9655902702,40.7600487762,5506
286,1477929958590,1,-73.9375910119,40.7595574815,25364
287,1477929958590,2,-73.949590694,40.796885531,20833
288,1477929958590,3,-73.9530500618,40.7919751441,9039
289,1477929958590,4,-73.9564013244,40.771429421,29564
290,1477929958590,5,-73.9219157515,40.7670902683,16600
291,1477929958590,6,-73.9530500618,40.7920569868,8630
292,1477929958590,7,-73.9561851139,40.7860003502,8110
293,1477929958590,8,-73.9541311143,40.7896016602,16440
294,1477929958590,9,-73.9561851139,40.7782241284,9595
295,1477929958590,10,-73.949158273,40.7966400203,5442
296,1477929958590,11,-73.9192131203,40.7710200791,5929
297,1477930804041,1,-73.9643470599,40.7598031293,24640
298,1477930804041,2,-73.9444556949,40.7512868084,37120
299,1477930804041,3,-73.9649956913,40.7600487762,17185
300,1477930804041,4,-73.9367802226,40.7597212468,61753
301,1477930804041,5,-73.9367802226,40.7773236649,1760
302,1477930804041,6,-73.9349424334,40.7854273965,50306
303,1477930804041,7,-73.9634822179,40.7593118328,37919
304,1477930804041,8,-73.9337532757,40.7625051954,24616
305,1477930804041,9,-73.9627254812,40.7802705908,48383
306,1477930804041,10,-73.9310506446,40.7662715285,16117
307,1477930804041,11,-73.9226184355,40.7659440298,25368
308,1477931567444,1,-73.9511762398,40.7555996987,9468
309,1477931567444,2,-73.9613381328,40.7804888756,15784
310,1477931567444,3,-73.937122558,40.7596939543,13900
311,1477931567444,4,-73.9338794007,40.7628054199,15237
312,1477931567444,5,-73.9587436069,40.783435661,14533
313,1477931567444,6,-73.9232850868,40.7716477348,6837
314,1477931567444,7,-73.9598246593,40.7793428682,8551
315,1477931567444,8,-73.9237175077,40.7685366832,26739
316,1477931567444,9,-73.9557166601,40.7991496431,8811
317,1477931567444,10,-73.9615543433,40.7641154671,16338
318,1477931567444,11,-73.9563652915,40.7578925129,6341
319,1477932524504,1,-73.9620227971,40.7805980189,17849
320,1477932524504,2,-73.9260237507,40.7725755649,14090
321,1477932524504,3,-73.9516446937,40.7557088805,17371
322,1477932524504,4,-73.9282939609,40.7700376482,40967
323,1477932524504,5,-73.9456989052,40.7514505941,10198
324,1477932524504,6,-73.9262399612,40.7728211646,14901
325,1477932524504,7,-73.9529419566,40.798113071,8227
326,1477932524504,8,-73.92126712,40.7700376482,28163
327,1477932524504,9,-73.9313209077,40.7664352773,16540
328,1477932524504,10,-73.9648335335,40.7606219488,20646
329,1477932524504,11,-73.9254832245,40.7719206279,11299
330,1477933317458,1,-73.9225103303,40.7673358883,29120
331,1477933317458,2,-73.956455377,40.7783878477,16416
332,1477933317458,3,-73.9341856967,40.7626689535,24930
333,1477933317458,4,-73.9511582201,40.7943485431,28546
334,1477933317458,5,-73.9572121137,40.7786334259,30970
335,1477933317458,6,-73.9495366414,40.7967218573,10597
336,1477933317458,7,-73.9625092707,40.7805161621,34479
337,1477933317458,8,-73.9400233799,40.7565277504,12265
338,1477933317458,9,-73.9546175879,40.7735579583,28379
339,1477933317458,10,-73.952023062,40.7770780819,5590
340,1477933317458,11,-73.9551581141,40.7999134219,51462
341,1477935881108,1,-73.962617376,40.7627508323,19719
342,1477935881108,2,-73.9509420096,40.794430383,20401
343,1477935881108,3,-73.9280236978,40.769710168,15161
344,1477935881108,4,-73.9367802226,40.7594755987,35489
345,1477935881108,5,-73.9539689564,40.7756045645,61508
346,1477935881108,6,-73.9494285361,40.7547262232,41274
347,1477935881108,7,-73.9346181177,40.7636514933,18598
348,1477935881108,8,-73.9304020131,40.7667627736,20678
349,1477935881108,9,-73.9540770617,40.7553813297,12958
350,1477935881108,10,-73.9532122197,40.7562820905,13757
351,1477935881108,11,-73.9501852729,40.7543167784,11019
352,1477937942436,1,-73.9439692213,40.7515324868,19943
353,1477937942436,2,-73.9592120608,40.7834629463,19551
354,1477937942436,3,-73.9280777504,40.7699557783,16443
355,1477937942436,4,-73.9584553241,40.7691370738,32839
356,1477937942436,5,-73.9576985873,40.7582473445,42862
357,1477937942436,6,-73.9225643829,40.7691370738,9989
358,1477937942436,7,-73.9645092177,40.7602944222,8023
359,1477937942436,8,-73.9327262759,40.7635696155,13169
360,1477937942436,9,-73.9268885927,40.7724936982,31265
361,1477937942436,10,-73.9618065866,40.7810073018,6430
362,1477937942436,11,-73.9239697511,40.7708563416,9610
363,1477941297566,1,-73.9229968039,40.7718387604,39975
364,1477941297566,2,-73.9224562777,40.7695464273,9564
365,1477941297566,3,-73.920834699,40.7710200791,13413
366,1477941297566,4,-73.9615903761,40.7804343051,45587
367,1477941297566,5,-73.940293643,40.7565277504,8217
368,1477941297566,6,-73.9276453294,40.769710168,14355
369,1477941297566,7,-73.954023009,40.7751952483,6601
370,1477941297566,8,-73.9218076462,40.7673358883,30867
371,1477941297566,9,-73.9582391136,40.7835447995,17912
372,1477941297566,10,-73.9263480665,40.7721662301,16522
373,1477941297566,11,-73.9488339573,40.7979494003,12193
374,1477944615861,1,-73.9647254282,40.7600487762,5792
