worstleast,gender,age,movement,movementinter,q,job,session,combined,transparency,worstmost,size,bestleast,transparencyinter,sizeinter,bestmost
11,male,36,position,correct,t,y,1477908454740,all,position,10,position,3,correct,correct,3
8,female,33,position,correct,t,y,1477908853984,all,attribute,8,attribute,7,correct,correct,7
6,male,30,position,correct,t,y,1477908880033,one,attribute,7,position,10,correct,correct,10
4,male,38,position,correct,t,n,1477908833775,all,else,4,else,8,correct,wrong,11
8,male,34,position,correct,t,y,1477908937936,all,position,8,position,3,correct,correct,3
10,female,38,else,correct,t,y,1477910618018,one,else,11,position,6,wrong,correct,5
11,male,34,else,correct,t,y,1477911455645,unsure,else,11,attribute,2,Please select...,Please select...,2
10,male,33,position,correct,t,y,1477911584216,unsure,attribute,11,attribute,9,correct,wrong,8
3,male,35,else,correct,t,y,1477911516706,unsure,else,9,attribute,Please select...,correct,Please select...,3
10,male,34,position,correct,t,y,1477912958045,all,position,10,position,2,correct,correct,2
7,male,45,position,correct,t,y,1477914393544,unsure,attribute,7,position,3,correct,correct,3
5,female,39,position,correct,t,y,1477915805692,one,attribute,5,attribute,11,correct,Please select...,11
8,female,41,position,correct,t,y,1477916764376,unsure,position,8,position,1,correct,correct,3
10,male,36,position,correct,t,y,1477916943209,unsure,position,11,position,3,wrong,correct,1
1,male,31,position,correct,t,y,1477917227403,all,position,1,position,11,wrong,correct,3
8,male,28,position,correct,t,n,1477920343399,all,attribute,1,position,3,correct,correct,3
4,male,33,position,correct,t,y,1477920986554,one,position,11,position,11,correct,correct,3
5,male,54,position,correct,t,y,1477922300794,unsure,attribute,9,attribute,2,correct,correct,2
10,male,26,position,correct,t,y,1477913216581,one,else,1,attribute,2,correct,correct,11
10,male,48,position,correct,t,y,1477928954400,all,Please select...,11,position,2,Please select...,correct,3
1,male,38,position,correct,t,y,1477929181037,unsure,else,2,else,7,correct,correct,11
6,male,32,else,correct,t,y,1477929206081,unsure,attribute,6,attribute,3,correct,wrong,2
11,male,30,else,correct,t,y,1477929202520,unsure,else,1,attribute,1,Please select...,Please select...,11
1,male,36,position,correct,t,y,1477929390259,unsure,attribute,11,position,5,correct,correct,3
11,male,32,position,correct,t,y,1477928931585,unsure,attribute,10,position,2,correct,correct,3
9,female,28,else,Please select...,t,n,1477929752986,one,else,9,else,1,Please select...,correct,1
8,male,30,position,correct,t,y,1477929958590,unsure,attribute,8,position,1,correct,correct,3
1,female,68,position,correct,t,y,1477930804041,one,else,1,else,8,Please select...,wrong,10
8,female,43,position,correct,t,y,1477931567444,one,position,9,position,2,correct,correct,3
9,male,26,position,correct,t,y,1477932524504,all,position,8,position,3,correct,correct,3
8,male,35,position,correct,t,y,1477933317458,one,position,8,position,3,correct,wrong,3
9,male,44,attribute,correct,t,y,1477935881108,unsure,attribute,9,else,7,correct,wrong,3
5,male,35,position,correct,t,y,1477937942436,one,position,5,attribute,3,correct,correct,4
